getInstance, java.util.Calendar
setField, java.text.NumberFormat
setCiteKey, org.jabref.model.entry.BibEntry
nextInt, java.util.Scanner
getEntries, java.util.zip.ZipEntry
insertEntry, org.jabref.model.database.BibDatabase
savePartOfDatabase, org.jabref.logic.exporter.BibDatabaseWriter
getImportFormatPreferences, org.jabref.logic.importer.ImportFormatPreferences
parse, java.text.SimpleDateFormat
toList, java.util.stream.Stream
inferMode, org.jabref.logic.bibtex.BibEntryAssert
format, java.text.DateFormat
containsAll, java.util.Collection
main, java.lang.String.format
