"function_name_fk","api_name_fk","api_context","api_topic","function_context","function_topic","llm_expert_api","sim_expert_api","llm_expert_function","sim_expert_function"
"add","java.util.List","An ordered collection (also known as a sequence)","Collections","Appends the specified element to the end of a list","Collections","Core","Collections","Data Structure","Collections"
"addParameter","org.apache.http.client.methods.HttpRequestBase","Abstract base class for HTTP requests","HTTP Communication","Adds a parameter to the request URI","Network Communication","HTTP","Data Structure","Network Communication","Data Structure"
"build","java.lang.StringBuilder","Used to create mutable sequence of characters","Text Manipulation","Constructs a string builder with no characters","Text Processing","Core","Text Manipulation","Data Structure","Text Processing"
"collect","java.util.stream.Stream","Represents a sequence of elements supporting sequential and parallel aggregate operations","Stream Processing","Performs a mutable reduction operation on the elements of this stream","Collections","Core","Stream Processing","Data Structure","Collections"
"combine","org.apache.commons.lang3.StringUtils","Offers operations on strings","Text Manipulation","Combines an array of strings into a single string","Text Manipulation","Utility","Text Manipulation","String Handling","Text Manipulation"
"containsAll","java.util.Collection","The root interface in the collection hierarchy","Data Management","Checks if the collection contains all elements in the specified collection","Utility","Data Handling","Data Structure","Data Comparison","Data Handling"
"empty","java.util.Collections","Provides utility methods for collections","Collections Framework","Checks if a collection is empty","Collections Framework","Utility","Collections Framework","Data Structure","Collections Framework"
"emptyList","java.util.Collections","Provides static methods for operating on collections","Collections Utility","Returns an immutable empty list","Collections","Utility","Collections","Data Structure","Collections"
"equals","java.lang.Object","The root class of the Java class hierarchy","Core","Indicates whether some other object is ""equal to"" this one","Comparison","Core","Object","Data Structure","Comparison"
"format","java.lang.String","Represents a sequence of characters","Text Formatting","Returns a formatted string using the specified format string and arguments","Utility","Text Processing","Data Structure","Text Formatting","Text Processing"
"getDOI","org.json.JSONObject","Represents a JSON object","Data Interchange","Retrieves the value mapped by the DOI key","JSON Processing","Data Interchange","JSON","Data Structure","JSON Processing"
"getEntries","org.jabref.model.database.BibDatabase","Represents a bibliographic database","Bibliography Management","Retrieves all entries from the database","Bibliography Management","Academic","Bibliography Management","Data Retrieval","Bibliography Management"
"getField","java.lang.reflect.Field","Represents a field of a class","Reflection","Retrieves the value of a field","Reflection","Introspection","Reflection","Data Access","Reflection"
"getImportFormatPreferences","org.jabref.logic.importer.ImportFormatPreferences","Manages preferences for import formats","Data Import","Retrieves the preferences for data import","Data Import","Configuration","Data Import","Data Management","Data Import"
"getInstance","java.security.KeyStore","Provides the functionality of a keystore","Security","Retrieves a keystore instance","Security","Cryptography","Security","Data Protection","Security"
"getJSONArray","org.json.JSONObject","Represents a JSON object","Data Interchange","Retrieves a JSONArray associated with the key","JSON Processing","Data Interchange","JSON","Data Structure","JSON Processing"
"getJSONObject","org.json.JSONObject","Provides a map of key/value pairs","JSON Manipulation","Retrieves the JSONObject associated with the specified key","Data Retrieval","JSON","Data Structure","JSON","Data Handling"
"getLatexFreeField","org.jbibtex.BibTeXEntry","Represents a BibTeX bibliography entry","Bibliography Management","Retrieves a field value without LaTeX formatting","Text Processing","Bibliography","Bibliography Management","Data Structure","Text Processing"
"getString","org.json.JSONObject","Provides a map of key/value pairs","JSON Manipulation","Retrieves the string associated with the specified key","Data Retrieval","JSON","Data Structure","JSON","Data Retrieval"
"has","org.json.JSONObject","Represents a JSON object","Data Interchange","Checks if the object has a value mapped by a key","JSON Processing","Data Interchange","JSON","Data Structure","JSON Processing"
"inferMode","org.apache.spark.ml.feature.VectorIndexer","Handles feature indexing for machine learning","Machine Learning","Infers the feature vector mode","Machine Learning","Data Processing","Machine Learning","Data Analysis","Machine Learning"
"insertEntry","java.util.Map","An object that maps keys to values","Collections","Associates a specific value with a specific key in this map","Collections","Core","Collections","Data Structure","Collections"
"isEmpty","java.util.Collection","The root interface in the collection hierarchy","Data Management","Checks if the collection is empty","Utility","Data Handling","Data Structure","Conditional Checking","Data Handling"
